Response,Tweet
Negative,@HumpNinja I cry my asian eyes to sleep at night 
Negative,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
Negative,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
Negative,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
Negative,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
Negative,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
Negative,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
Negative,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
Negative,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
Negative,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
Negative,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
Negative,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
Negative,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
Negative,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
Negative,is strangely sad about LiLo and SamRo breaking up. 
Negative,@tea oh! i'm so sorry  i didn't think about that before retweeting.
Negative,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
Negative,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
Negative,our duck and chicken are taking wayyy too long to hatch 
Negative,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
Negative,I need a hug 
Negative,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
Negative,@oanhLove I hate when that happens... 
Negative,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
Negative,Ugh....92 degrees tomorrow 
Negative,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
Negative,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
Negative,just leaving the parking lot of work! 
Negative,The Life is cool. But not for Me. 
Negative,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
Negative,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
Negative,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
Negative,Damm back to school tomorrow 
Negative,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
Negative,@katortiz  Not forever... See you soon!
Negative,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. "
Negative,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
Negative,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
Negative,i really hate how people diss my bands!  Trace is clearly NOT ugly!
Negative,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls."
Negative,Why won't you show my location?!   http://twitpic.com/2y2es
Negative,No picnic  my phone smells like citrus.
Negative,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. "
Negative,No new csi tonight.  FML
Negative,i think my arms are sore from tennis 
Negative,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
Negative,sleep soon... i just hate saying bye and see you tomorrow for the night. 
Negative,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine "
Negative,missin' the boo 
Negative,@markhardy1974 Me too  #itm
Negative,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
Negative,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too "
Negative,@msdrama hey missed ya at the meeting  sup mama
Negative,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
Negative,why is it always the fat ones?! 
Negative,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*"
Negative,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
Negative,wednesday my b-day! don't know what 2 do!! 
Negative,Poor cameron (the hills) 
Negative,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
Negative,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
Negative,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435
Negative,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
Negative,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
Negative,"@stark YOU don't follow me, either  and i work for you!"
Negative,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
Negative, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
Negative,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... "
Negative,Behind on my classes for work 
Negative,watching &quot;House&quot; 
Negative,@kpreyes Remember my bum leg? Strikes back this time its serious 
Negative,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls "
Negative,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
Negative,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
Negative,@Henkuyinepu it's overrated 
Negative,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times 
Negative,laying in bed with no voice.. 
Negative,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy
Negative,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.
Negative,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. "
Negative,@salancaster  hope your ok.
Negative,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love
Negative,@HibaNick yeah aw but i know i wudnt stand a chance 
Negative,ugh. cant sleep. its 1:30am. 
Negative,Hanging in Crooners. Wanna sing. Can't. Sucks. 
Negative,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! 
Negative,Is pissed off that there's no ASBA's for a radio station. 
Negative,wednesday my b-day n don't know what 2 do!  
Negative,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. 
Negative,I am in pain. My back and sides hurt. Not to mention crying is made of fail. 
Negative,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... "
Negative,@allyheman but.. but.. but.. I'm not a big fan on camilla belle 
Negative,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine "
Negative,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
Negative,I'm so cold 
Negative,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
Negative,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff
Negative,Hoping the tummy rumbles go away soon 
Negative,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. "
Negative,almost bedtime 
Negative,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
Negative,Agh...snow!!! 
Negative,i miss kenny powers 
Negative,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget "
Negative,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. "
Negative,@JonathanRKnight I guess that's a no then. 
Negative,sadly is going to bed. 
Negative,@ozesteph1992 Shame to hear this Stephan 
Negative,@mrsaintnick hey! i'm leavin in the morning... 
Negative,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left "
Negative,laid around too much today... now my head hurts 
Negative,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.
Negative,my nokia 1110 died..  
Negative,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! 
Negative,Going to sleep. Hoping tomorrow is a better day. 
Negative,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too
Negative,@onemoreproject that is lame 
Negative,I don't understand... I really don't 
Negative,HEROES just isn't doing it for me this season... 
Negative,Living not downtown sure isn't much fun.  
Negative,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
Negative,Man Work is Hard 
Negative,"getting sick  time for some hot tea, studying, and then sleeeep"
Negative,Getting eyebrows waxed. More pain 
Negative,No phantasy star yesterday  going to work...
Negative,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
Negative,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
Negative,is alone downstairs...working 
Negative,I feel bad for doing it 
Negative,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. "
Negative,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far 
Negative,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. 
Negative,Thanks for bursting my bubble 
Negative,Going to school soon... can't find anything to wear!! gosh it's so hard 
Negative,@marieclr I was serious  LOL
Negative,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
Negative,Crazy wind today = no birding  http://ff.im/1XTTi
Negative,currently at work.. 
Negative,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
Negative,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!
Negative,i don't see the big deal with this website 
Negative,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
Negative,@ColinDeMar Far too out of the way for rail.  any other tips?
Negative,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
Negative,"Today I realized I am too good at hiding things, even I can't find it "
Negative,"Staying at a friends house...house sitting, neighbors are SO loud-having a party "
Negative,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!
Negative,Check out my mug  http://www.erika-obscura.blogspot.com
Negative,Borders closed at 10 
Negative,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days 
Negative,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! 
Negative,is watching the hill . . .and its making me sad 
Negative,So many channels.... yet so so boring... lazy day again  may have to find a hobby
Negative,@supersport I miss my buddy  ill be in NY on the 25th
Negative,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
Negative,Opps.. As I said.. I still got one day remain and now problem come 
Negative,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb"
Negative,@HillyDoP  oH NO
Negative,spencer is not a good guy. 
Negative,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
Negative,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she�s not well "
Negative,didn't get shit done today ~ i'm so screwed 
Negative,wanttss to go out 
Negative,Is not going to sleep tonite. 
Negative,too worried and tired to post tonight 
Negative,couldn't get shit done today ~ i'm so screwed 
Negative,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
Negative,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*("
Negative,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now
Negative,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. "
Negative,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! 
Negative,i hate to see the spartans so sad 
Negative,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot 
Negative,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!"
Negative,@mandayyy 
Negative,@twista202 I think I want to read some books but the library doesn't have them 
Negative,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...
Negative,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
Negative,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.
Negative,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
Negative,sad that the 'feet' of my macbook just fell off 
Negative,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad 
Negative,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  "
Negative,"Has now gotten somebody to read his tweets, but cant get them to make an account. "
Negative,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:
Negative,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
Negative,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
Negative,@breadandbadger Congrats!!  i totally forgot to submit photos 
Negative,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
Negative,@imaginarypeach now your leaving me  .... -gets sad-
Negative,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. "
Negative,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
Negative,Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers 
Negative,What tragedy and disaster in the news this week 
Negative,yes yes still trying to find a picture that will upload correclty.. 
Negative,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
Negative,I still can't find my keys. 
Negative,@charlietm I know right. I dunno what is going on with twitter. 
Negative,might be getting a sore throat again 
Negative,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
Negative,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  
Negative,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd 
Negative,is in the bathroom... wake up lakin. 
Negative,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3
Negative,"im lonely  keep me company! 22 female, california"
Negative,bad day at the betfair office 
Negative,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!
Negative,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
Negative,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! 
Negative,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
Negative,@miss_om Aww  I know I felt like that yesterday at work 
Negative,@SarahReedSC treaty isn't defined 
Negative,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
Negative,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
Negative,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts
Negative,@mandayyy   
Negative,New video card is DOA. 
Negative,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
Negative,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work "
Negative,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
Negative,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah
Negative,has lost his ring. It's no-where to be seen 
Negative,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
Negative,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick 
Negative,Is fucked to go back to IC 
Negative,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
Negative,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can
Negative,@kissability Me too I is poor 
Negative,help me forget 8th april &amp; 13th july! 
Negative,"dierks bentley is comin' to columbus, OH!! i wanna go so bad "
Negative,i have to take my sidekick back. 
Negative,@chriscantore congrats! I'm totally jealous! only wish my XM was working 
Negative,gr8t my face is very itchy 
Negative,poor socks  luvvvvv the golden retriever!! I want one sighhhh
Negative,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
Negative,Aaaaand the nausea is back. 
Negative,@DonnieWahlberg ooh I�m excited and not even going 2 be there  long love YOUTUBE!
Negative,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..
Negative,@mathewsmichael  i agree... the jobros dont update theres very often 
Negative,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link 
Negative,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  )
Negative,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!"
Negative,@bostongarden I miss bentley 
Negative,seriously needs to finish these job applications 
Negative,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids"
Negative,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. 
Negative,@huntermoore I don't want him to ever punch me.  
Negative,sooo sick of the snow  ughh
Negative,@ITS_NEMESIS ------- 
Negative,@LoveMeagan it doesn't work your fan is upset 
Negative,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. 
Negative,@zaydia but i cant figure out how to get there / back / pay for a hotel etc 
Negative,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN "
Negative,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.
Negative,@ThaStevieG but what I really want is my old bass back 
Negative,Mad tired today... Callin it in early tonight  nighty night twittas
Negative,"@LevenRambin: Take it easy, and be good to you. "
Negative,I'm afraid I had bad code. 
Negative,Think I'm going to bed. Goodniight. I hate this 
Negative,"@riancurtis  i'm here, friend, and i love you."
Negative,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??
Negative,@aaronrva is in the bathroom and i have to pee!    
Negative,@ashleyskyy but I wanted a margarita too! 
Negative,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!
Negative,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good 
Negative,"has 0g of milky bar left, and around 200ml of coke "
Negative,@jokerrrr It stillllll hasn't arrived 
Negative,"Mraow, I feel like dancing, but first art school wants to rape me some more. "
Negative,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time 
Negative,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back 
Negative,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.
Negative,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/"
Negative,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!"
Negative,Just watched tropic thunder. Dreading tomorrow 
Negative,@qweendassah no...he's still miss'n... 
Negative,ChiefDelphi is down 
Negative,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)"
Negative,playing game at home! my new boss didn't call me yet... 
Negative,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t
Negative,Poor Joshy is sick???   those damn tejanos!
Negative,My thoughts are with Sandra Cantu's family at this difficult and sad time 
Negative,"@FranzGlaus I know, just wanted to let everybody know what was happening  "
Negative,Michigan who?  I don't know them.                   *sigh*   Shameful!
Negative,i have to fill two hours 
Negative,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday "
Negative,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office 
Negative,throat is closing up and i had some string cheese. not a good idea 
Negative,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family."
Negative,wishing i was home underneath my covers 
Negative,walking home from school drains all my energy 
Negative,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!"
Negative,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?
Negative,I wish I was better at writing. It's taking me so long to write this paper. 
Negative,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... 
Negative,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project."
Negative,@thecoolestout Ha the sun's already gone 
Negative,day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. 
Negative,My man crush Jake Peavy let me down  #gayforpeavy
Negative,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail "
Negative,michigan state you make me sad 
Negative,omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.
Negative,getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs
Negative,@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. 
Negative,@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. 
Negative,just got home from watching Michigan State get tromped!   
Negative,"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache "
Negative,"@griffmiester no exchanging for me, my laptop hasn't arrived "
Negative,@hyperbets i hope this doesn't last too long.  i feel miserable!
Negative,@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...
Negative,@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down 
Negative,@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!
Negative,"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah "
Negative,@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week 
Negative,"@otakusecret my reaction too  whoa, didn't see that coming"
Negative,"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! "
Negative,"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry "
Negative,@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. 
Negative,Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it 
Negative,New Testament Test at 9:30 am   
Negative,@ScoutBuck tons no hay Troll? ahhhh 
Negative,stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! 
Negative,"http://twitpic.com/2y2yi - I love you, Buck. "
Negative,last one!!! but still not done!!! 
Negative,homework.... 
Negative,I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby 
Negative,Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots 
Negative,@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?
Negative,"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and "
Negative,"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!"
Negative,@Sara_Kate Im afraid too  ( ur reply about uni from ages ago
Negative,feeling down 
Negative,@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke 
Negative,"@nick_carter Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart."
Negative, wonder if Jon lost the net
Negative,Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML
Negative,@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock 
Negative,@Poohpot lmao im sorry poohpot i ate it all! 
Negative,Any chance  Softbelly (for @MTUB) isn't loud? 
Negative,Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but I�m drool for some swimming
Negative,listening to nathan cry.... 
Negative,today sucked. I'm gonna die without chris and callum!  wahhh!
Negative,"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... "
Negative,@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick 
Negative,is in love with scrappy and is missin him already 
Negative,wants to hear @seblefebvre 's song but myspace is messing with me 
Negative,Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management
Negative,@duchess_rebecca Man... intervention is soo sad 
Negative,HELP! I need a new boyfriend... I'm stuck in a rut 
Negative,I feel like a complete idiot. I'm the only one who doesn't get how this shit works  help me 
Negative,Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax 
Negative,Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka
Negative,"@soillodge yes, it will be. it's only Monday "
Negative,i want the new GG episode already 
Negative,I miss watching Rocko's Modern Life. 
Negative,RIP Sandra....its so sad    how can someone do something like that??
Negative,Keeping my fingers crossed for my buddy    He is not feeling well.
Negative,Wait should I eat?? Or be skinny for vegas!! I'm hungry! 
Negative,"@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure... "
